
Col HX: If Culture

Description	pos	neg	Sum
Hispanic   	1	84	85
nonHispa   	4	180	184
Circumci   	1	18	19
UnCircum   	0	33	33
Unknown    	2	71	73
Hydro No   	2	75	77
HydroYes   	2	167	169
HydroUnk   	1	22	23
AugmentY   	0	24	24
AugmentN   	5	240	245
CathY      	1	33	34
CathN      	4	231	235
UTI No     	4	229	233
UTI Yes    	1	32	33
UTI Unk    	0	3	3
VUR1-2     	1	14	15
VUR3-5     	0	28	28
VURunk     	0	1	1
VUR Yes    	1	43	44
VUR No     	4	221	225
Eti-Myel   	3	151	154
Eti-Fatt   	0	47	47
Eti-Othe   	2	66	68
Total      	5	264	269

Col IA: Pseudomonas

Description	Che	Unc	Sum
<1:        	0	11	11
1 - <6     	0	51	51
6 - <11    	3	71	74
11 - <15   	2	56	58
15 - <18   	1	31	32
>18        	0	43	43
Female     	3	141	144
Male       	3	122	125
White      	4	141	145
Black      	1	27	28
Asian      	1	11	12
Other      	0	84	84
Hispanic   	1	84	85
nonHispa   	5	179	184
Circumci   	0	19	19
UnCircum   	0	33	33
Unknown    	3	70	73
Hydro No   	2	75	77
HydroYes   	4	165	169
HydroUnk   	0	23	23
AugmentY   	1	23	24
AugmentN   	5	240	245
CathY      	3	31	34
CathN      	3	232	235
UTI No     	6	227	233
UTI Yes    	0	33	33
UTI Unk    	0	3	3
VUR1-2     	0	15	15
VUR3-5     	2	26	28
VURunk     	0	1	1
VUR Yes    	2	42	44
VUR No     	4	221	225
Eti-Myel   	1	153	154
Eti-Fatt   	2	45	47
Eti-Othe   	3	65	68
Total      	6	263	269

Col IB: Enterococcus

Description	Che	Unc	Sum
<1:        	0	11	11
1 - <6     	3	48	51
6 - <11    	5	69	74
11 - <15   	3	55	58
15 - <18   	1	31	32
>18        	0	43	43
Female     	6	138	144
Male       	6	119	125
White      	12	133	145
Black      	0	28	28
Asian      	0	12	12
Other      	0	84	84
Hispanic   	0	85	85
nonHispa   	12	172	184
Circumci   	1	18	19
UnCircum   	0	33	33
Unknown    	5	68	73
Hydro No   	4	73	77
HydroYes   	7	162	169
HydroUnk   	1	22	23
AugmentY   	0	24	24
AugmentN   	12	233	245
CathY      	3	31	34
CathN      	9	226	235
UTI No     	6	227	233
UTI Yes    	5	28	33
UTI Unk    	1	2	3
VUR1-2     	0	15	15
VUR3-5     	0	28	28
VURunk     	1	0	1
VUR Yes    	1	43	44
VUR No     	11	214	225
Eti-Myel   	5	149	154
Eti-Fatt   	1	46	47
Eti-Othe   	6	62	68
Total      	12	257	269

Col IC: Klebsiella

Description	Che	Unc	Sum
<1:        	1	10	11
1 - <6     	3	48	51
6 - <11    	5	69	74
11 - <15   	7	51	58
15 - <18   	5	27	32
>18        	7	36	43
Female     	16	128	144
Male       	12	113	125
White      	15	130	145
Black      	7	21	28
Asian      	2	10	12
Other      	4	80	84
Hispanic   	4	81	85
nonHispa   	24	160	184
Circumci   	4	15	19
UnCircum   	2	31	33
Unknown    	6	67	73
Hydro No   	6	71	77
HydroYes   	22	147	169
HydroUnk   	0	23	23
AugmentY   	5	19	24
AugmentN   	23	222	245
CathY      	8	26	34
CathN      	20	215	235
UTI No     	24	209	233
UTI Yes    	4	29	33
UTI Unk    	0	3	3
VUR1-2     	1	14	15
VUR3-5     	7	21	28
VURunk     	0	1	1
VUR Yes    	8	36	44
VUR No     	20	205	225
Eti-Myel   	15	139	154
Eti-Fatt   	3	44	47
Eti-Othe   	10	58	68
Total      	28	241	269

Col ID: Staphylococcus

Description	Che	Unc	Sum
<1:        	1	10	11
1 - <6     	0	51	51
6 - <11    	7	67	74
11 - <15   	3	55	58
15 - <18   	0	32	32
>18        	2	41	43
Female     	2	142	144
Male       	11	114	125
White      	7	138	145
Black      	1	27	28
Asian      	0	12	12
Other      	5	79	84
Hispanic   	4	81	85
nonHispa   	9	175	184
Circumci   	3	16	19
UnCircum   	0	33	33
Unknown    	8	65	73
Hydro No   	7	70	77
HydroYes   	5	164	169
HydroUnk   	1	22	23
AugmentY   	0	24	24
AugmentN   	13	232	245
CathY      	1	33	34
CathN      	12	223	235
UTI No     	10	223	233
UTI Yes    	3	30	33
UTI Unk    	0	3	3
VUR1-2     	2	13	15
VUR3-5     	1	27	28
VURunk     	0	1	1
VUR Yes    	3	41	44
VUR No     	10	215	225
Eti-Myel   	7	147	154
Eti-Fatt   	3	44	47
Eti-Othe   	3	65	68
Total      	13	256	269

Col IS: Ciprofloxacin

Description	Che	Unc	Sum
<1:        	0	11	11
1 - <6     	4	47	51
6 - <11    	5	69	74
11 - <15   	9	49	58
15 - <18   	3	29	32
>18        	7	36	43
Female     	19	125	144
Male       	9	116	125
White      	11	134	145
Black      	4	24	28
Asian      	0	12	12
Other      	13	71	84
Hispanic   	13	72	85
nonHispa   	15	169	184
Circumci   	2	17	19
UnCircum   	1	32	33
Unknown    	6	67	73
Hydro No   	7	70	77
HydroYes   	18	151	169
HydroUnk   	3	20	23
AugmentY   	4	20	24
AugmentN   	24	221	245
CathY      	3	31	34
CathN      	25	210	235
UTI No     	23	210	233
UTI Yes    	3	30	33
UTI Unk    	2	1	3
VUR1-2     	0	15	15
VUR3-5     	3	25	28
VURunk     	1	0	1
VUR Yes    	4	40	44
VUR No     	24	201	225
Eti-Myel   	13	141	154
Eti-Fatt   	7	40	47
Eti-Othe   	8	60	68
Total      	28	241	269

Col MC: Resistances

Description	Yes	No	Sum
<1:        	5	6	11
1 - <6     	21	30	51
6 - <11    	12	62	74
11 - <15   	19	39	58
15 - <18   	6	26	32
>18        	18	24	43
Female     	47	96	144
Male       	34	91	125
White      	52	92	145
Black      	5	23	28
Asian      	3	9	12
Other      	21	63	84
Hispanic   	22	63	85
nonHispa   	59	124	184
Circumci   	6	13	19
UnCircum   	6	27	33
Unknown    	22	51	73
Hydro No   	13	64	77
HydroYes   	60	108	169
HydroUnk   	8	15	23
AugmentY   	8	16	24
AugmentN   	73	171	245
CathY      	8	26	34
CathN      	73	161	235
UTI No     	63	170	233
UTI Yes    	17	15	33
UTI Unk    	1	2	3
VUR1-2     	7	8	15
VUR3-5     	19	9	28
VURunk     	1	0	1
VUR Yes    	27	17	44
VUR No     	54	170	225
Eti-Myel   	34	120	154
Eti-Fatt   	17	29	47
Eti-Othe   	30	38	68
Total      	81	187	269

Col MD: Bactrim

Description	Che	Unc	Sum
<1:        	1	10	11
1 - <6     	11	40	51
6 - <11    	5	69	74
11 - <15   	10	48	58
15 - <18   	1	31	32
>18        	10	33	43
Female     	17	127	144
Male       	21	104	125
White      	30	115	145
Black      	2	26	28
Asian      	1	11	12
Other      	5	79	84
Hispanic   	6	79	85
nonHispa   	32	152	184
Circumci   	5	14	19
UnCircum   	3	30	33
Unknown    	13	60	73
Hydro No   	5	72	77
HydroYes   	31	138	169
HydroUnk   	2	21	23
AugmentY   	3	21	24
AugmentN   	35	210	245
CathY      	5	29	34
CathN      	33	202	235
UTI No     	30	203	233
UTI Yes    	7	26	33
UTI Unk    	1	2	3
VUR1-2     	5	10	15
VUR3-5     	7	21	28
VURunk     	1	0	1
VUR Yes    	13	31	44
VUR No     	25	200	225
Eti-Myel   	14	140	154
Eti-Fatt   	8	39	47
Eti-Othe   	16	52	68
Total      	38	231	269

Col ME: Amoxicillin

Description	Che	Unc	Sum
<1:        	1	10	11
1 - <6     	0	51	51
6 - <11    	1	73	74
11 - <15   	0	58	58
15 - <18   	1	31	32
>18        	0	43	43
Female     	1	143	144
Male       	2	123	125
White      	0	145	145
Black      	0	28	28
Asian      	0	12	12
Other      	3	81	84
Hispanic   	2	83	85
nonHispa   	1	183	184
Circumci   	0	19	19
UnCircum   	1	32	33
Unknown    	1	72	73
Hydro No   	0	77	77
HydroYes   	3	166	169
HydroUnk   	0	23	23
AugmentY   	0	24	24
AugmentN   	3	242	245
CathY      	0	34	34
CathN      	3	232	235
UTI No     	2	231	233
UTI Yes    	1	32	33
UTI Unk    	0	3	3
VUR1-2     	1	14	15
VUR3-5     	1	27	28
VURunk     	0	1	1
VUR Yes    	2	42	44
VUR No     	1	224	225
Eti-Myel   	2	152	154
Eti-Fatt   	0	47	47
Eti-Othe   	1	67	68
Total      	3	266	269

Col MF: Augmentin

Description	Che	Unc	Sum
<1:        	1	10	11
1 - <6     	0	51	51
6 - <11    	0	74	74
11 - <15   	1	57	58
15 - <18   	0	32	32
>18        	0	43	43
Female     	2	142	144
Male       	0	125	125
White      	0	145	145
Black      	1	27	28
Asian      	0	12	12
Other      	1	83	84
Hispanic   	1	84	85
nonHispa   	1	183	184
Circumci   	0	19	19
UnCircum   	0	33	33
Unknown    	0	73	73
Hydro No   	1	76	77
HydroYes   	0	169	169
HydroUnk   	1	22	23
AugmentY   	0	24	24
AugmentN   	2	243	245
CathY      	0	34	34
CathN      	2	233	235
UTI No     	0	233	233
UTI Yes    	2	31	33
UTI Unk    	0	3	3
VUR1-2     	0	15	15
VUR3-5     	0	28	28
VURunk     	0	1	1
VUR Yes    	0	44	44
VUR No     	2	223	225
Eti-Myel   	0	154	154
Eti-Fatt   	0	47	47
Eti-Othe   	2	66	68
Total      	2	267	269

Col MG: Nitrofurantoin

Description	Che	Unc	Sum
<1:        	0	11	11
1 - <6     	8	43	51
6 - <11    	3	71	74
11 - <15   	6	52	58
15 - <18   	2	30	32
>18        	5	38	43
Female     	17	127	144
Male       	7	118	125
White      	13	132	145
Black      	2	26	28
Asian      	2	10	12
Other      	7	77	84
Hispanic   	8	77	85
nonHispa   	16	168	184
Circumci   	0	19	19
UnCircum   	1	32	33
Unknown    	6	67	73
Hydro No   	4	73	77
HydroYes   	17	152	169
HydroUnk   	3	20	23
AugmentY   	5	19	24
AugmentN   	19	226	245
CathY      	3	31	34
CathN      	21	214	235
UTI No     	21	212	233
UTI Yes    	3	30	33
UTI Unk    	0	3	3
VUR1-2     	1	14	15
VUR3-5     	7	21	28
VURunk     	0	1	1
VUR Yes    	8	36	44
VUR No     	16	209	225
Eti-Myel   	10	144	154
Eti-Fatt   	5	42	47
Eti-Othe   	9	59	68
Total      	24	245	269

Col MH: Cephalexin

Description	Che	Unc	Sum
<1:        	0	11	11
1 - <6     	1	50	51
6 - <11    	3	71	74
11 - <15   	1	57	58
15 - <18   	0	32	32
>18        	0	43	43
Female     	4	140	144
Male       	1	124	125
White      	5	140	145
Black      	0	28	28
Asian      	0	12	12
Other      	0	84	84
Hispanic   	0	85	85
nonHispa   	5	179	184
Circumci   	0	19	19
UnCircum   	0	33	33
Unknown    	1	72	73
Hydro No   	1	76	77
HydroYes   	3	166	169
HydroUnk   	1	22	23
AugmentY   	0	24	24
AugmentN   	5	240	245
CathY      	0	34	34
CathN      	5	230	235
UTI No     	5	228	233
UTI Yes    	0	33	33
UTI Unk    	0	3	3
VUR1-2     	0	15	15
VUR3-5     	3	25	28
VURunk     	0	1	1
VUR Yes    	3	41	44
VUR No     	2	223	225
Eti-Myel   	2	152	154
Eti-Fatt   	3	44	47
Eti-Othe   	0	68	68
Total      	5	264	269
